search1,seller,register,name,price,category,rnp
갈치웜,,등록일 2020.11.,야광 새우웜 가짜 인조 새우 루어 미끼 볼락웜 갈치웜,"2,470원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰3']
갈치웜,낚시바보,등록일 2020.08.,워터맨 새드 플렉스 풀치 갈치웜 - 낚시바보,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰4', '구매건수4']"
갈치웜,레전드낚시마트,등록일 2020.02.,티렉스 케이무라 갈치웜 초고발광 루어웜 갈치,"3,400원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰1']
갈치웜,추천낚시,등록일 2018.08.,워터맨 트위스터 플렉스 새드웜 갈치웜 물결채비,"5,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰10']
갈치웜,,등록일 2019.07.,워터맨 피쉬본패들 갈치킬러 풀치 갈치웜 물결채비,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰20']
갈치웜,큰놈낚시,등록일 2019.03.,아쿠아엑스 갈치웜 소프트베이트 갈치 루어 낚시,"5,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,선경피싱,등록일 2019.10.,[슈어캐치]워터맨 트위스터 플렉스 갈치 풀치웜,"3,300원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰9', '구매건수1']"
갈치웜,낚시환자,등록일 2021.04.,해동 피나투라 바톰피시 농어 갈치웜 - 낚시환자,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,,등록일 2019.07.,슈어캐치 워터맨 피쉬본패들 갈치킬러 풀치 갈치웜 물결채비,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰82']
갈치웜,히트피쉬,등록일 2019.04.,워터맨 슈어캐치 트위스터 플렉스 TWF 갈치웜,"4,180원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰18']
갈치웜,넥스트루어샵,등록일 2019.09.,티렉스 케이무라 UV 갈치웜 2.5/3.0인치,"3,600원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰4', '구매건수1']"
갈치웜,대신낚시,등록일 2017.08.,베라스 야광웜 갈치낚시 갈치웜 갈치채비 바다루어,"1,800원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,낚시 킹,등록일 2020.07.,낚시킹 갈치 풀치 웜 모음전 소프트베이트 지그 헤드 훅 미끼 2.5 3 3.5 채비 야광,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰31']
갈치웜,낚시공일공,등록일 2021.03.,야광 삼발 갈치지그헤드웜 갈치 풀치 볼락 낚시 미끼,"2,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,퍼니피싱,등록일 2018.02.,퍼니피싱 그럽웜1.5인치 쏘가리 꺽지 볼락 웜,790원,"['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰324', '구매건수190']"
갈치웜,오캄 OKLM,등록일 2020.11.,야광 쉐드 광어 갈치 웜 8g,"8,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,,등록일 2021.05.,다이와 DR 스틱 2.5인치 갈치웜 농어웜 루어웜,"6,300원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,신신낚시 통영점,등록일 2021.04.,티렉스 케이무라 볼락웜 UV 1.4 1.8 2.2인치 아징 전갱이 갈치 풀치 웜,"3,400원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰23', '구매건수78']"
갈치웜,대양피싱,등록일 2019.08.,마리아 마마웜 피쉬 UV글로우 3 인치 / 3.5인치 갈치웜,"7,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰20', '구매건수8']"
갈치웜,피싱이오,등록일 2019.08.,"[워터맨] 피쉬본 패들 (6.1g, 11.1g, 16.4g) / 갈치웜 / 갈치킬러","4,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰4', '구매건수6']"
갈치웜,루어광,등록일 2020.07.,TIREX 갈치웜,"4,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,피싱이오,등록일 2019.09.,[워터맨] 새드 플랙스 / 갈치 웜,"4,500원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰2']
갈치웜,,등록일 2021.06.,파미 YAHADA 갈치웜 2인치 풀치 루어 웜,"1,720원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",[]
갈치웜,히트피쉬,등록일 2019.08.,워터맨 슈어캐치 뉴 새드 플렉스 갈치웜,"4,350원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰13']
갈치웜,,등록일 2016.09.,슈어캐치 실치 패들/민물 바다루어/루어웜 갈치웜,"2,880원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰26']
갈치웜,크레이지피싱,등록일 2019.09.,다이와 DR스틱 3.5인치 갈치웜 와인딩웜 다트웜,"9,000원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰2', '구매건수3']"
갈치웜,,등록일 2019.08.,이꾸다 폰토스 갈치웜 세트,"3,270원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰12']
갈치웜,,등록일 2019.08.,티렉스 갈치짱 물결채비 갈치루어 갈치웜 케미라이트,"3,680원","['스포츠/레저', '낚시', '루어낚시', '소프트베이트']",['리뷰12']
갈치웜,즐낚,등록일 2018.09.,히트페이스 헤어테일 갈치웜 루어 낚시미끼 야광 루어웜,950원,"['스포츠/레저', '낚시', '루어낚시', '소프트베이트']","['리뷰41', '구매건수4']"
